# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
69              	4.74976331e-03	2.37486423e-03	2.37489908e-03	-9.18893652e-03	-2.12516474e-03	-7.06377178e-03	2.46930352e-03	-1.74234369e-08	-7.65853973e-09	1.03336856e-09	-7.14185545e-09	8.17522401e-09
70              	4.75000928e-03	2.37499458e-03	2.37501470e-03	-9.21091494e-03	-2.13336318e-03	-7.07755176e-03	2.47209429e-03	-1.00602609e-08	-6.94811461e-09	1.02972917e-09	-6.43325002e-09	7.46297920e-09
71              	4.75030664e-03	2.37514722e-03	2.37515942e-03	-9.23044280e-03	-2.14092991e-03	-7.08951289e-03	2.47429149e-03	-6.10139545e-09	-5.94467383e-09	1.02628362e-09	-5.43153203e-09	6.45781564e-09
72              	4.75063719e-03	2.37531395e-03	2.37532323e-03	-9.24935364e-03	-2.14831089e-03	-7.10104275e-03	2.47636593e-03	-4.63981121e-09	-4.77504729e-09	1.02327392e-09	-4.26341032e-09	5.28668425e-09
73              	4.75098632e-03	2.37548823e-03	2.37549809e-03	-9.26857298e-03	-2.15571798e-03	-7.11285500e-03	2.47856851e-03	-4.92780790e-09	-3.54784503e-09	1.02066964e-09	-3.03751021e-09	4.05817985e-09
74              	4.75134359e-03	2.37566543e-03	2.37567816e-03	-9.28843254e-03	-2.16320528e-03	-7.12522727e-03	2.48101099e-03	-6.36534259e-09	-2.34780606e-09	1.01833508e-09	-1.83863852e-09	2.85697360e-09
75              	4.75169621e-03	2.37583980e-03	2.37585641e-03	-9.30843512e-03	-2.17061155e-03	-7.13782356e-03	2.48360600e-03	-8.30246941e-09	-1.24722694e-09	1.01625033e-09	-7.39101769e-10	1.75535210e-09
76              	4.75201829e-03	2.37599925e-03	2.37601904e-03	-9.32714042e-03	-2.17754803e-03	-7.14959239e-03	2.48602218e-03	-9.89646303e-09	-3.19883873e-10	1.01455437e-09	1.87393313e-10	8.27161060e-10
77              	4.75227830e-03	2.37612867e-03	2.37614963e-03	-9.34353279e-03	-2.18376672e-03	-7.15976607e-03	2.48799968e-03	-1.04837044e-08	3.85377460e-10	1.01316826e-09	8.91961590e-10	1.21206671e-10
78              	4.75245084e-03	2.37621579e-03	2.37623504e-03	-9.35733798e-03	-2.18919795e-03	-7.16814003e-03	2.48947104e-03	-9.62441117e-09	8.44132269e-10	1.01193593e-09	1.35010023e-09	-3.38164306e-10
79              	4.75253051e-03	2.37625806e-03	2.37627245e-03	-9.36883865e-03	-2.19388778e-03	-7.17495087e-03	2.49053155e-03	-7.19651688e-09	1.04428669e-09	1.01092291e-09	1.54974814e-09	-5.38825230e-10
80              	4.75253539e-03	2.37626414e-03	2.37627125e-03	-9.37918082e-03	-2.19815135e-03	-7.18102947e-03	2.49143906e-03	-3.55777367e-09	1.02719223e-09	1.01014732e-09	1.53226589e-09	-5.22118564e-10
81              	4.75248421e-03	2.37624294e-03	2.37624126e-03	-9.38949637e-03	-2.20232673e-03	-7.18716963e-03	2.49242145e-03	8.38634298e-10	8.62638188e-10	1.00971696e-09	1.36749667e-09	-3.57779708e-10
82              	4.75239168e-03	2.37620143e-03	2.37619025e-03	-9.40032245e-03	-2.20657451e-03	-7.19374794e-03	2.49358672e-03	5.58617864e-09	6.10717284e-10	1.00956178e-09	1.11549817e-09	-1.05936396e-10
83              	4.75227639e-03	2.37614854e-03	2.37612785e-03	-9.41132375e-03	-2.21082275e-03	-7.20050100e-03	2.49483913e-03	1.03429648e-08	3.24409672e-10	1.00950306e-09	8.29161201e-10	1.80341857e-10
84              	4.75215133e-03	2.37609032e-03	2.37606101e-03	-9.42221417e-03	-2.21498264e-03	-7.20723153e-03	2.49612444e-03	1.46537740e-08	3.84220535e-11	1.00949890e-09	5.43171506e-10	4.66327398e-10
85              	4.75203373e-03	2.37603509e-03	2.37599864e-03	-9.43245070e-03	-2.21891444e-03	-7.21353626e-03	2.49731091e-03	1.82247573e-08	-2.22270357e-10	1.00926708e-09	2.82363181e-10	7.26903895e-10
86              	4.75194100e-03	2.37599143e-03	2.37594956e-03	-9.44158891e-03	-2.22250721e-03	-7.21908170e-03	2.49828725e-03	2.09351716e-08	-4.48201054e-10	1.00892386e-09	5.62608765e-11	9.52662985e-10
87              	4.75188434e-03	2.37596494e-03	2.37591940e-03	-9.44949410e-03	-2.22572363e-03	-7.22377047e-03	2.49902342e-03	2.27722870e-08	-6.34712155e-10	1.00853739e-09	-1.30443458e-10	1.13898085e-09
88              	4.75186501e-03	2.37595629e-03	2.37590872e-03	-9.45635866e-03	-2.22860815e-03	-7.22775051e-03	2.49957118e-03	2.37825150e-08	-7.71803326e-10	1.00816405e-09	-2.67721301e-10	1.27588535e-09
89              	4.75187667e-03	2.37596239e-03	2.37591428e-03	-9.46256176e-03	-2.23126015e-03	-7.23130161e-03	2.50002073e-03	2.40526829e-08	-8.44175447e-10	1.00777783e-09	-3.40286531e-10	1.34806436e-09
90              	4.75191117e-03	2.37597928e-03	2.37593189e-03	-9.46845227e-03	-2.23377450e-03	-7.23467778e-03	2.50045164e-03	2.36959632e-08	-8.42661185e-10	1.00735469e-09	-3.38983841e-10	1.34633853e-09
91              	4.75196157e-03	2.37600362e-03	2.37595795e-03	-9.47424312e-03	-2.23620742e-03	-7.23803570e-03	2.50091414e-03	2.28359211e-08	-7.69761714e-10	1.00685107e-09	-2.66336178e-10	1.27318725e-09
